"","words","emotion","value"
"1","0","HAPPY",0.287110508
"2","1000th","HAPPY",0.437545392
"3","100th","AFRAID",0.308124003
"4","101st","HAPPY",1
"5","10th","SAD",0.239679263
"6","110th","DONT_CARE",0.857859405
"7","115th","HAPPY",0.549403045
"8","11th","DONT_CARE",0.167511589
"9","120th","AMUSED",0.564393203
"10","12th","ANNOYED",0.220673723
"11","13th","HAPPY",0.211763638
"12","14th","HAPPY",0.189092368
"13","150th","ANGRY",0.684236336
"14","15th","DONT_CARE",0.164420291
"15","16th","ANNOYED",0.166862827
"16","17th","SAD",0.22559147
"17","1820s","HAPPY",1
"18","1840s","DONT_CARE",0.507669624
"19","1850s","AFRAID",0.125
"20","1860s","AMUSED",1
"21","1870s","DONT_CARE",0.236889214
"22","1880s","INSPIRED",0.56500632
"23","1890s","DONT_CARE",0.413236886
"24","18th","HAPPY",0.222642668
"25","1900s","INSPIRED",0.26553518
"26","1920s","AMUSED",0.311378593
"27","1930s","ANGRY",0.223193425
"28","1940s","DONT_CARE",0.266788009
"29","1950s","INSPIRED",0.238462488
"30","1960s","INSPIRED",0.175610446
"31","1970s","SAD",0.172756114
"32","1980s","AMUSED",0.169600943
"33","1990s","SAD",0.196752857
"34","19th","HAPPY",0.205718816
"35","1st","HAPPY",0.163841021
"36","200th","DONT_CARE",0.842809176
"37","20th","DONT_CARE",0.165157244
"38","21st","DONT_CARE",0.651253891
"39","22nd","HAPPY",0.237439623
"40","23rd","HAPPY",0.199630258
"41","24th","AFRAID",0.189103771
"42","25th","DONT_CARE",0.22546535
"43","26th","INSPIRED",0.329696216
"44","27th","HAPPY",0.175330169
"45","28th","HAPPY",0.198482695
"46","29th","HAPPY",0.21076917
"47","2d","HAPPY",0.24146614
"48","2nd","ANNOYED",0.166372019
"49","3-d","AMUSED",0.451805671
"50","3-dimensional","DONT_CARE",0.707251561
"51","30th","SAD",0.203576292
"52","31st","DONT_CARE",0.597702799
"53","32nd","SAD",1
"54","34th","AMUSED",0.616701424
"55","35th","HAPPY",1
"56","38th","HAPPY",1
"57","3d","AMUSED",0.315137428
"58","3rd","HAPPY",0.168903416
"59","400th","SAD",0.654560992
"60","40th","DONT_CARE",0.173597275
"61","44th","ANGRY",0.520969566
"62","45th","DONT_CARE",0.564608307
"63","46th","ANGRY",0.40692418
"64","49th","SAD",1
"65","4th","HAPPY",0.177135116
"66","50th","HAPPY",0.214717416
"67","55th","HAPPY",0.546477794
"68","5th","HAPPY",0.168754236
"69","60th","INSPIRED",0.187987901
"70","64th","ANGRY",0.408647554
"71","65th","SAD",0.739739257
"72","6th","SAD",0.165187101
"73","70th","HAPPY",0.301871123
"74","75th","AMUSED",0.307080441
"75","7th","ANNOYED",0.249716956
"76","80th","SAD",0.31422353
"77","85th","ANNOYED",0.708203092
"78","8th","INSPIRED",0.190240002
"79","9-11","ANGRY",0.583808092
"80","90th","HAPPY",0.445496419
"81","95th","HAPPY",0.323423576
"82","9th","HAPPY",0.211523253
"83","a","AFRAID",0.152004648
